,LAT,Year,LONG,LC1,LC2,LAND_MNGT,CLASS,Country
0,42.79455,2012,-9.109,D10,8,1.0,Livestock,Spain
1,37.4521,2012,-7.449729999999998,C10,E10,1.0,Livestock,Spain
2,37.61489,2012,-7.46872,C10,E10,1.0,Livestock,Spain
3,37.22281,2012,-7.39086,B74,E10,1.0,Livestock,Spain
4,37.66248,2012,-7.41157,C10,E10,1.0,Livestock,Spain
5,37.69774,2012,-7.420709999999999,D10,8,1.0,Livestock,Spain
6,37.50787,2012,-7.34856,C10,8,1.0,Livestock,Spain
7,37.66658,2012,-7.389459999999999,C10,E10,1.0,Livestock,Spain
8,37.42914,2012,-7.374539999999999,C10,8,1.0,Livestock,Spain
9,37.51732,2012,-7.39722,C10,E10,1.0,Livestock,Spain
10,37.6965,2012,-7.32768,C10,E10,1.0,Livestock,Spain
11,42.97912,2012,-8.91664,E10,8,1.0,Livestock,Spain
12,42.93979,2012,-8.92905,E10,8,1.0,Livestock,Spain
13,37.49432,2012,-7.32197,C10,8,1.0,Livestock,Spain
14,37.48076,2012,-7.2954,E10,8,1.0,Livestock,Spain
15,37.63951,2012,-7.33615,C10,E10,1.0,Livestock,Spain
16,37.41426,2012,-7.25534,C10,8,1.0,Livestock,Spain
17,37.70594,2012,-7.37647,C10,E10,1.0,Livestock,Spain
18,37.72767,2012,-7.35891,C10,E10,1.0,Livestock,Spain
19,37.73993,2012,-7.29251,C10,E10,1.0,Livestock,Spain
20,37.41832,2012,-7.2333,C10,E10,1.0,Livestock,Spain
21,37.43597,2012,-7.23779,C10,D10,1.0,Livestock,Spain
22,37.76164,2012,-7.27492,C10,E10,1.0,Livestock,Spain
23,37.46578,2012,-7.17613,C10,E10,1.0,Livestock,Spain
24,37.55402,2012,-7.19858,E10,8,1.0,Livestock,Spain
25,37.59475,2012,-7.27836,C10,E10,1.0,Livestock,Spain
26,37.74807,2012,-7.24824,C10,E10,1.0,Livestock,Spain
27,37.36943,2012,-7.19783,C22,E10,1.0,Livestock,Spain
28,37.52826,2012,-7.238229999999999,C10,E10,1.0,Livestock,Spain
29,37.58118,2012,-7.25176,C10,E10,1.0,Livestock,Spain
30,42.26093,2012,-8.50903,E10,8,1.0,Livestock,Spain
31,37.29731,2012,-7.08748,C22,E10,1.0,Livestock,Spain
32,37.43856,2012,-7.12309,C10,E10,1.0,Livestock,Spain
33,37.45622,2012,-7.12755,C10,E10,1.0,Livestock,Spain
34,37.50917,2012,-7.14097,E10,8,1.0,Livestock,Spain
35,37.70328,2012,-7.1904,C10,E10,1.0,Livestock,Spain
36,37.64629,2012,-7.19899,C10,E10,1.0,Livestock,Spain
37,37.68158,2012,-7.20802,C10,E10,1.0,Livestock,Spain
38,37.84032,2012,-7.24878,C10,E10,1.0,Livestock,Spain
39,37.93256,2012,-7.249349999999998,C10,E10,1.0,Livestock,Spain
40,37.68968,2012,-7.16377,C10,E10,1.0,Livestock,Spain
41,37.55254,2012,-7.10576,C10,8,1.0,Livestock,Spain
42,37.90542,2012,-7.19587,C10,E10,1.0,Livestock,Spain
43,42.21308,2012,-8.369049999999998,C22,8,1.0,Livestock,Spain
44,42.19999,2012,-8.34,D10,8,1.0,Livestock,Spain
45,37.68818,2012,-7.07077,C10,E10,1.0,Livestock,Spain
46,37.72348,2012,-7.07974,C10,8,1.0,Livestock,Spain
47,42.29159,2012,-8.44363,D10,8,1.0,Livestock,Spain
48,42.19124,2012,-8.387209999999998,C22,D10,1.0,Livestock,Spain
49,38.44644,2012,-7.26647,C10,B11,1.0,Livestock,Spain
50,38.39765,2012,-7.23027,C10,B11,1.0,Livestock,Spain
51,42.34404,2012,-8.35998,D10,8,1.0,Livestock,Spain
52,37.69777,2012,-7.11952,E10,8,1.0,Livestock,Spain
53,37.76835,2012,-7.13752,C10,E10,1.0,Livestock,Spain
54,37.94475,2012,-7.18275,C10,E10,1.0,Livestock,Spain
