"POINT_ID","NUTS0","NUTS1","NUTS2","TH_LAT","TH_LONG","SURVEY_DATE","OBS_TYPE","GPS_PROJ","GPS_PREC","GPS_LAT","GPS_EW","GPS_LONG","GPS_ALT","OBS_DIST","OBS_DIR","LC1","LC1_SPECIES","LC1_PCT","LC2","LC2_SPECIES","LC2_PCT","OBS_RADIUS","LU1","LU2","AREA_SIZE","TREE_HEIGHT_MAT","TREE_HEIGHT_SRV","FEATURE_WIDTH","LAND_MNGT","LC_LU_SPECIAL_REMARK","PROTECTED_AREA","WM","WM_SOURCE","WM_TYPE","WM_DELIVERY","SOIL_TAKEN","SOIL_PLOUGH","SOIL_CROP","SOIL_STONES","TRANSECT","PHOTO_P","PHOTO_N","PHOTO_E","PHOTO_S","PHOTO_W"
26541954,"PT","PT1","PT17",38.759430000000002,-9.2868200000000005,"29/03/12",1,1,3,38.759430000000002,"W",9.2868200000000005,189,0,1,"E20","8",5,"8","8",8,2,"U111","8",4,8,8,8,1,7,4,5,8,8,8,4,8,8,8,"E20;61;E20;24;E20;D20;E20;61;E20;D20",1,1,1,1,1
26541962,"PT","PT1","PT17",38.829349999999998,-9.3076600000000003,"28/03/12",1,1,3,38.829369999999997,"W",9.3076600000000003,179,1,1,"E20","8",6,"8","8",8,2,"U112","8",3,8,8,8,2,7,4,5,8,8,8,4,8,8,8,"E20;14;23;13;A",1,1,1,1,1
26541972,"PT","PT1","PT17",38.916719999999998,-9.3338000000000001,"13/09/12",1,1,1,38.916499999999999,"W",9.3339200000000009,204,27,1,"E20","8",3,"8","8",8,2,"U111","8",3,8,8,8,2,7,4,5,8,8,8,4,8,8,8,"E20;A;E20;D20",1,1,1,1,1
26541990,"PT","PT1","PT16",39.073950000000004,-9.3811,"01/06/12",1,1,11,39.07394,"W",9.3811099999999996,56,5,1,"E30","8",5,"8","8",8,2,"U112","8",1,8,8,8,2,7,4,5,8,8,8,4,8,8,8,"E30;A;F40;24;F40;E30",1,1,1,1,1
26561766,"PT","PT1","PT15",37.117130000000003,-8.7922799999999999,"03/05/12",1,1,3,37.117139999999999,"W",8.7922899999999995,63,1,1,"B84","8",3,"8","8",8,2,"U111","8",3,8,8,8,2,7,4,5,8,8,8,4,8,8,8,"B84/145;E20/15;E10/20;E20/17;61/3;E20/20;C10/15;PI/0;E20/15;PI/0",1,1,1,1,1
26561770,"PT","PT1","PT15",37.152239999999999,-8.80199,"01/05/12",1,1,5,37.152239999999999,"W",8.8019999999999996,121,1,1,"C10","C10E",6,"8","8",8,2,"U120","8",4,2,2,2,2,7,4,8,8,8,8,4,8,8,8,"C10;61;C10;61",1,1,1,1,1
26561778,"PT","PT1","PT15",37.222459999999998,-8.8214600000000001,"18/04/12",1,1,2,37.222450000000002,"W",8.8214900000000007,129,3,1,"B81","8",2,"D10","8",4,2,"U410","8",3,1,1,8,2,7,4,8,8,8,8,4,8,8,8,"B81;D10;E10;21;D20;62;E10;61;E10;61",1,1,1,1,1
26561782,"PT","PT1","PT15",37.257559999999998,-8.8312200000000001,"17/04/12",1,1,2,37.257559999999998,"W",8.8312200000000001,155,1,1,"C10","C10E",5,"8","8",8,2,"U120","8",4,2,2,2,2,7,4,8,8,8,8,4,8,8,8,"C10;PI;C10;61;C10;61;C10;PI",1,1,1,1,1
26561784,"PT","PT1","PT15",37.275109999999998,-8.8361000000000001,"17/04/12",1,1,3,37.275350000000003,"W",8.8371700000000004,77,98,1,"D10","8",5,"8","8",8,2,"U120","8",4,2,2,2,2,7,4,8,8,8,8,4,8,8,8,"D10;C10;32;C10;D10",1,1,1,1,1
26561788,"PT","PT1","PT15",37.310209999999998,-8.8458799999999993,"18/04/12",1,1,2,37.30997,"W",8.8459800000000008,75,28,1,"D20","8",6,"8","8",8,2,"U420","8",3,8,8,8,2,7,4,8,8,8,8,4,8,8,8,"D20/60;G10/110;D20/77;32/3",1,1,1,1,1
26561918,"PT","PT1","PT17",38.449179999999998,-9.1715099999999996,"23/05/12",3,1,2,38.449080000000002,"W",9.1706199999999995,143,78,1,"D10","8",5,"8","8",8,2,"U120","8",3,2,2,1,2,7,4,8,8,8,8,4,8,8,8,"PI;D10;D20;23;E20;61;D20;PI",8,1,1,1,1
26561922,"PT","PT1","PT17",38.484169999999999,-9.1817799999999998,"23/05/12",1,1,4,38.484169999999999,"W",9.1817799999999998,37,0,1,"C22","C22A",4,"8","8",8,2,"U120","8",4,2,2,2,2,7,1,8,8,8,8,4,8,8,8,"C22;61;C22;61;C22;D10;B43;B16;B43;B21;B43",1,1,1,1,1
26561940,"PT","PT1","PT17",38.641590000000001,-9.2281600000000008,"21/05/12",1,1,2,38.641579999999998,"W",9.2281700000000004,6,1,1,"E30","8",5,"8","8",8,2,"U112","8",3,8,8,8,2,7,4,2,5,5,3,4,8,8,8,"E30;B43;E30;A;61;24;E20;24;61;24;E20;A;F40",1,1,1,1,1
26561950,"PT","PT1","PT17",38.729019999999998,-9.2540700000000005,"29/03/12",1,1,4,38.729030000000002,"W",9.2540800000000001,114,1,1,"E20","8",5,"8","8",8,2,"U111","8",3,8,8,8,1,7,4,5,8,8,8,4,8,8,8,"E20/18;11/11;E20/66;61/4;11/20;C10/131",1,1,1,1,1
26561958,"PT","PT1","PT17",38.798949999999998,-9.2748600000000003,"13/09/12",3,1,2,38.798720000000003,"W",9.27501,237,29,2,"B82","8",4,"8","8",8,2,"U113","8",1,8,8,8,2,7,4,8,8,8,8,4,8,8,8,"PI;B82;A;C10;PI",8,1,1,1,1
26561962,"PT","PT1","PT17",38.8339,-9.2852800000000002,"11/04/12",1,1,3,38.833919999999999,"W",9.2852800000000002,255,1,1,"D10","8",5,"8","8",8,2,"U120","8",4,1,1,8,2,7,4,8,8,8,8,4,8,8,8,"D10;01;62;01;D10",1,1,1,1,1
26581974,"PT","PT1","PT17",38.94332,-9.2942099999999996,"23/07/12",1,1,3,38.943300000000001,"W",9.2941859999999998,340,3,1,"D10","8",5,"8","8",8,2,"U410","8",2,1,1,8,2,7,2,8,8,8,8,4,8,8,8,"D10;24;62;21;D10;D20;PI;D20;PI",1,1,1,1,1
26581980,"PT","PT1","PT17",38.995739999999998,-9.30992,"01/06/12",1,1,2,38.995750000000001,"W",9.3099000000000007,97,2,1,"D10","8",5,"8","8",8,2,"U410","8",3,1,1,8,2,7,4,8,8,8,8,4,8,8,8,"D10;32;E20;B82;24;B82;E30;24;E30;D20",1,1,1,1,1
26581984,"PT","PT1","PT16",39.03069,-9.3204200000000004,"28/05/12",1,1,2,39.03069,"W",9.3204200000000004,71,1,1,"B82","8",4,"E20","8",5,2,"U111","8",3,8,8,8,2,7,4,5,8,8,8,4,8,8,8,"B82;E20;61;32;B72;B43;E10;21;24;01;62;01;24;21;A;B75;B82;A",1,1,1,1,1
26581990,"PT","PT1","PT16",39.083089999999999,-9.3361800000000006,"01/06/12",1,1,3,39.083080000000002,"W",9.3361800000000006,19,1,1,"E30","8",5,"8","8",8,2,"U112","8",3,8,8,8,2,7,4,5,8,8,8,4,8,8,8,"E30;23;E30;23;A",1,1,1,1,1
26581998,"PT","PT1","PT16",39.15296,-9.3572600000000001,"08/06/12",1,1,21,39.152979999999999,"W",9.3572399999999991,56,3,1,"E20","8",5,"8","8",8,2,"U111","8",1,8,8,8,2,7,4,5,8,8,8,4,8,8,8,"E20;A;23;24;B43;A",1,1,1,1,1
26601762,"PT","PT1","PT15",37.09084,-8.7388399999999997,"03/05/12",1,1,3,37.09084,"W",8.7388399999999997,90,0,1,"B74","8",2,"E10","8",5,2,"U111","U112",3,8,8,8,2,7,4,5,8,8,8,4,8,8,8,"B74;E10;B81;E20;A",1,1,1,1,1
26601766,"PT","PT1","PT15",37.125959999999999,-8.7485199999999992,"01/05/12",1,1,3,37.125970000000002,"W",8.7485099999999996,70,1,1,"E10","8",4,"8","8",8,2,"U111","8",4,1,1,8,1,7,4,5,8,8,8,4,8,8,8,"E10;D20;E10;14;D20;61;14;D20",1,1,1,1,1
26561964,"PT","PT1","PT17",38.851379999999999,-9.2904900000000001,"29/03/12",1,1,4,38.851379999999999,"W",9.2904900000000001,176,0,1,"B53","B53d",6,"8","8",8,1,"U111","8",4,8,8,8,2,7,4,1,1,2,3,4,8,8,8,"B53/132;31/1;B53/91;61/3;02/3;31/2;01/2;B53/16",1,1,1,1,1
26561968,"PT","PT1","PT17",38.886339999999997,-9.3009400000000007,"01/06/12",1,1,3,38.886429999999997,"W",9.3006100000000007,122,30,1,"D10","8",5,"8","8",8,2,"U410","8",3,2,1,1,2,7,4,8,8,8,8,4,8,8,8,"D10;B21;E30;E10;24;11;62;11;24;D10;C10;G20;C10;B21",1,1,1,1,1
26561972,"PT","PT1","PT17",38.921289999999999,-9.3113899999999994,"01/06/12",1,1,3,38.921329999999998,"W",9.3114100000000004,211,4,1,"C10","C10E",5,"8","8",8,2,"U120","8",3,2,2,2,2,7,4,8,8,8,8,4,8,8,8,"C10;32;D10;C10;PI;E10;E20;PI;A",1,1,1,1,1
26561976,"PT","PT1","PT17",38.956229999999998,-9.3218700000000005,"23/07/12",1,1,3,38.956519999999998,"W",9.3219499999999993,222,33,1,"C10","C10E",4,"8","8",8,2,"U120","8",3,2,2,2,2,7,4,8,8,8,8,4,8,8,8,"C10;E30;D20;A;D20;23;11;E10;11;23;24;62;23;11;E30;E10;A;E30",1,1,1,1,1
26561982,"PT","PT1","PT17",39.008650000000003,-9.3376099999999997,"01/06/12",1,1,2,39.00864,"W",9.3376000000000001,117,1,1,"B82","8",4,"F40","8",6,2,"U111","8",3,8,8,8,2,7,4,5,8,8,8,4,8,8,8,"B82/70;F40/0;61/5;23/0;D10/25;C22/150",1,1,1,1,1
26561986,"PT","PT1","PT16",39.043590000000002,-9.3481199999999998,"01/06/12",1,1,2,39.043590000000002,"W",9.3476999999999997,74,37,1,"D20","8",6,"8","8",8,2,"U112","8",3,8,8,8,2,7,4,5,8,8,8,4,8,8,8,"D20/55;E10/5;B11/155;E20/5;61/3;E20/3;B43/24",1,1,1,1,1
