"POINT_ID","NUTS0","NUTS1","NUTS2","TH_LAT","TH_LONG","SURVEY_DATE","OBS_TYPE","GPS_PROJ","GPS_PREC","GPS_LAT","GPS_EW","GPS_LONG","GPS_ALT","OBS_DIST","OBS_DIR","LC1","LC1_SPECIES","LC1_PCT","LC2","LC2_SPECIES","LC2_PCT","OBS_RADIUS","LU1","LU2","AREA_SIZE","TREE_HEIGHT_MAT","TREE_HEIGHT_SRV","FEATURE_WIDTH","LAND_MNGT","LC_LU_SPECIAL_REMARK","PROTECTED_AREA","WM","WM_SOURCE","WM_TYPE","WM_DELIVERY","SOIL_TAKEN","SOIL_PLOUGH","SOIL_CROP","SOIL_STONES","TRANSECT","PHOTO_P","PHOTO_N","PHOTO_E","PHOTO_S","PHOTO_W"
51422592,"RO","RO4","RO42",45.9128611107,20.6092705977,"16/07/12",1,1,5,45.912860000000002,"E",20.609269999999999,125,0,1,"B11","8",5,"8","8",8,1,"U111","8",2,8,8,8,2,7,4,5,8,8,8,4,8,8,8,"B11;B16;B11",1,1,1,1,1
51342596,"RO","RO4","RO42",45.958684241699999,20.514049082500001,"14/07/12",1,1,5,45.958669999999998,"E",20.514040000000001,123,0,1,"B11","8",6,"8","8",8,1,"U111","8",4,8,8,8,2,2,4,1,3,5,1,4,8,8,8,"B11;B52",1,1,1,1,1
51342606,"RO","RO4","RO42",46.047736195200002,20.5315082334,"13/07/12",1,1,5,46.047739999999997,"E",20.53154,125,1,1,"B55","8",6,"8","8",8,1,"U111","8",4,8,8,8,1,7,4,3,8,8,8,4,8,8,8,"B55",1,1,1,1,1
51382596,"RO","RO4","RO42",45.953592722899998,20.565178258500001,"14/07/12",1,1,5,45.953609999999998,"E",20.56523,122,0,1,"B11","8",5,"8","8",8,1,"U111","8",4,8,8,8,2,2,4,2,3,5,1,1,2,1,1,"B11;01;31;01;B11",1,1,1,1,1
51382602,"RO","RO4","RO42",46.0070191732,20.575693925300001,"14/07/12",2,1,5,46.003970000000002,"E",20.57396,118,365,1,"B31","8",6,"8","8",8,1,"U111","8",4,8,8,8,2,7,4,5,8,8,8,4,8,8,8,"B31;B16",1,1,1,1,1
51422602,"RO","RO4","RO42",46.0018972879,20.626863519,"14/07/12",3,1,5,46.001390000000001,"E",20.627559999999999,129,78,1,"B16","8",6,"8","8",8,1,"U111","8",3,8,8,8,2,7,4,5,8,8,8,3,8,8,8,"PI;B16;PI;01;61;01;B16",8,1,1,1,1
51422610,"RO","RO4","RO42",46.073119606799999,20.6409920187,"14/07/12",3,1,5,46.073810000000002,"E",20.641190000000002,127,77,1,"E10","8",6,"8","8",8,2,"U112","8",1,8,8,8,2,7,4,5,8,8,8,4,8,8,8,"PI;E10;E20;14;G20;14;PI;A",8,1,1,1,1
51422614,"RO","RO4","RO42",46.1087285662,20.648074402599999,"14/07/12",1,1,5,46.108719999999998,"E",20.648060000000001,125,0,2,"B11","8",6,"8","8",8,1,"U111","8",4,8,8,8,2,2,4,5,8,8,8,4,8,8,8,"61;B11;31;B11",1,1,1,1,1
51282600,"RO","RO4","RO42",46.001903180299998,20.4442647023,"13/07/12",3,1,5,45.999070000000003,"E",20.44548,119,330,1,"B31","8",6,"8","8",8,1,"U111","8",4,8,8,8,2,7,4,5,8,8,8,3,8,8,8,"PI;B31;PI",8,1,1,1,1
51282604,"RO","RO4","RO42",46.037529385699997,20.451202113200001,"13/07/12",3,1,5,46.038539999999998,"E",20.450340000000001,124,140,1,"B16","8",6,"8","8",8,1,"U111","8",3,8,8,8,2,7,4,5,8,8,8,4,8,8,8,"PI;B16;PI;B16;B31;B15",8,1,1,1,1
