"POINT_ID","NUTS0","NUTS1","NUTS2","TH_LAT","TH_LONG","SURVEY_DATE","OBS_TYPE","GPS_PROJ","GPS_PREC","GPS_LAT","GPS_EW","GPS_LONG","GPS_ALT","OBS_DIST","OBS_DIR","LC1","LC1_SPECIES","LC1_PCT","LC2","LC2_SPECIES","LC2_PCT","OBS_RADIUS","LU1","LU2","AREA_SIZE","TREE_HEIGHT_MAT","TREE_HEIGHT_SRV","FEATURE_WIDTH","LAND_MNGT","LC_LU_SPECIAL_REMARK","PROTECTED_AREA","WM","WM_SOURCE","WM_TYPE","WM_DELIVERY","SOIL_TAKEN","SOIL_PLOUGH","SOIL_CROP","SOIL_STONES","TRANSECT","PHOTO_P","PHOTO_N","PHOTO_E","PHOTO_S","PHOTO_W"
64061620,"CY","CY0","CY00",34.815790055699999,32.914529690999998,"18/08/12",1,1,3,34.815800000000003,"E",32.91451,506,2,1,"B81","8",3,"B82","8",3,2,"U113","8",1,8,8,8,2,7,4,8,8,8,8,4,8,8,8,"B81;B82;62;24;23;F40;A;B81;22;E10;B81;62;24;F40;01;62;E10",1,1,1,1,1
64061622,"CY","CY0","CY00",34.833122539000001,32.920092010799998,"18/08/12",2,1,3,34.8322,"E",32.92004,616,103,1,"D20","8",4,"8","8",8,2,"U420","8",3,8,8,8,2,7,4,8,8,8,8,4,8,8,8,"D20;A;D20",1,1,1,1,1
64061624,"CY","CY0","CY00",34.8504540048,32.925658178900001,"18/08/12",3,1,3,34.849249999999998,"E",32.923299999999998,712,254,1,"C22","C22A",6,"8","8",8,2,"U120","8",4,2,2,2,2,7,1,8,8,8,8,4,8,8,8,"PI;C22;21;D20;PI",8,1,1,1,1
64061626,"CY","CY0","CY00",34.867784453200002,32.931228198699998,"21/09/12",1,1,3,34.867759999999997,"E",32.931229999999999,769,2,1,"D10","8",6,"8","8",8,2,"U420","8",1,8,8,8,2,7,3,8,8,8,8,4,8,8,8,"D10;23;C22;PI;C22;61;PI",1,1,1,1,1
64061628,"CY","CY0","CY00",34.885113884100001,32.936802073400003,"22/09/12",1,1,3,34.885120000000001,"E",32.936819999999997,914,2,1,"D10","8",6,"8","8",8,2,"U420","8",4,2,1,2,2,4,3,8,8,8,8,4,8,8,8,"D10;61",1,1,1,1,1
64061630,"CY","CY0","CY00",34.902442297299999,32.942379806300004,"21/09/12",1,1,3,34.902459999999998,"E",32.942369999999997,894,2,1,"D10","8",6,"8","8",8,2,"U420","8",2,2,2,1,2,7,3,8,8,8,8,4,8,8,8,"D10;61;D20;B81;F40;C10;32;C10;D10;24;D20;D10",1,1,1,1,1
64061632,"CY","CY0","CY00",34.919769692700001,32.947961400899999,"21/09/12",1,1,3,34.91977,"E",32.947969999999998,1003,1,1,"C22","C22A",6,"8","8",8,2,"U350","8",3,2,2,2,2,7,3,8,8,8,8,4,8,8,8,"C22;D10;C22;D10;D20",1,1,1,1,1
64141636,"CY","CY0","CY00",34.932920287599998,33.043328909000003,"15/09/12",1,1,7,34.932940000000002,"E",33.043329999999997,1057,2,1,"B74","8",4,"E10","8",6,2,"U410","8",1,8,8,8,2,7,3,8,8,8,8,4,8,8,8,"B74;E10;21;B74;21;D10;24;61;F10;B74;D10;F10;24;F10;D10;B73;B82;F40;B75;B74",1,1,1,1,1
64141638,"CY","CY0","CY00",34.950238720100003,33.048939256399997,"15/09/12",1,1,4,34.950240000000001,"E",33.048940000000002,947,0,1,"A22","8",6,"8","8",8,1,"U312","8",4,8,8,8,8,7,1,8,8,8,8,4,8,8,8,"62;E20;B74;D10;61;D10;F10;D10",1,1,1,1,1
64141640,"CY","CY0","CY00",34.967556130399998,33.054553488300002,"15/09/12",3,1,4,34.966470000000001,"E",33.056620000000002,879,224,1,"D10","8",6,"8","8",8,2,"U420","8",4,2,2,2,2,7,1,8,8,8,8,4,8,8,8,"PI;D10;C22;PI",8,1,1,1,1
64141642,"CY","CY0","CY00",34.984872518400003,33.060171607800001,"16/09/12",3,1,4,34.984699999999997,"E",33.0625,592,213,1,"C22","C22A",6,"8","8",8,2,"U420","8",4,2,2,2,2,7,1,8,8,8,8,4,8,8,8,"PI;C22;PI;F10;62;23;D10;C10",8,1,1,1,1
64141644,"CY","CY0","CY00",35.002187884000001,33.065793618500003,"16/09/12",1,1,3,35.002200000000002,"E",33.065800000000003,671,1,1,"C22","C22A",6,"8","8",8,2,"U420","8",4,2,2,2,2,7,3,8,8,8,8,4,8,8,8,"C22;61;C22;61;C22",1,1,1,1,1
64141646,"CY","CY0","CY00",35.019502226999997,33.071419523599999,"12/09/12",3,1,4,35.018830000000001,"E",33.07591,505,416,1,"C22","C22A",6,"8","8",8,2,"U420","8",3,2,2,2,2,7,4,8,8,8,8,4,8,8,8,"PI;C22;61;C22;61;C22;PI",8,1,1,1,1
64141648,"CY","CY0","CY00",35.036815547499998,33.077049326500003,"12/09/12",1,1,4,35.036819999999999,"E",33.07705,412,0,1,"D10","8",3,"8","8",8,2,"U420","8",4,2,2,2,2,7,2,8,8,8,8,4,8,8,8,"D10;32;D20;D10;B74;B81",1,1,1,1,1
64141650,"CY","CY0","CY00",35.054127845300002,33.082683030600002,"13/06/12",1,1,2,35.054130000000001,"E",33.082680000000003,405,1,1,"E10","8",5,"8","8",8,2,"U420","8",1,8,8,8,2,7,4,8,8,8,8,4,8,8,8,"E10;D10;62;D10;02;62;D10;E30",1,1,1,1,1
64221642,"CY","CY0","CY00",34.963276933099998,33.144374800999998,"13/09/12",1,1,2,34.963290000000001,"E",33.144390000000001,647,2,1,"E10","8",6,"8","8",8,2,"U420","8",1,8,8,8,2,7,3,8,8,8,8,4,8,8,8,"E10;D10;21;C22;D10;61;B81;61;24;B81;24;B81;B74;61;E10;24;E10",1,1,1,1,1
