"POINT_ID","NUTS0","NUTS1","NUTS2","TH_LAT","TH_LONG","SURVEY_DATE","OBS_TYPE","GPS_PROJ","GPS_PREC","GPS_LAT","GPS_EW","GPS_LONG","GPS_ALT","OBS_DIST","OBS_DIR","LC1","LC1_SPECIES","LC1_PCT","LC2","LC2_SPECIES","LC2_PCT","OBS_RADIUS","LU1","LU2","AREA_SIZE","TREE_HEIGHT_MAT","TREE_HEIGHT_SRV","FEATURE_WIDTH","LAND_MNGT","LC_LU_SPECIAL_REMARK","PROTECTED_AREA","WM","WM_SOURCE","WM_TYPE","WM_DELIVERY","SOIL_TAKEN","SOIL_PLOUGH","SOIL_CROP","SOIL_STONES","TRANSECT","PHOTO_P","PHOTO_N","PHOTO_E","PHOTO_S","PHOTO_W"
51421918,"EL","EL6","EL62",39.888930000000002,19.575949999999999,"01/05/12",3,2,8888,88.888888,"8",88.888888,8888,8888,1,"A22","8",6,"8","8",8,1,"U370","8",1,8,8,8,8,7,4,8,8,8,8,4,8,8,8,"PI;A;Bx2;C22;Bx2;C22;PI",8,2,2,2,2
51741876,"EL","EL6","EL62",39.47504,19.88804,"07/07/12",3,1,5,39.474980000000002,"E",19.888300000000001,25,26,1,"E30","8",6,"8","8",8,2,"U420","8",1,8,8,8,2,7,4,8,8,8,8,4,8,8,8,"PI;E30;PI;14;61;14;A;D20;A;14;61;14;A;14;D10",8,1,1,1,1
51741882,"EL","EL6","EL62",39.528880000000001,19.896239999999999,"10/07/12",1,1,3,39.528860000000002,"E",19.8962,102,2,1,"B81","8",5,"E30","8",6,2,"U111","8",4,8,8,8,2,7,4,5,8,8,8,4,8,8,8,"B81;E30;24;B81;23;E30;23;B81;23;B16;01;B81;61;D10",1,1,1,1,1
51621892,"EL","EL6","EL62",39.632620000000003,19.77177,"07/07/12",1,1,4,39.632620000000003,"E",19.771789999999999,57,2,1,"E20","8",6,"8","8",8,2,"U111","8",2,8,8,8,1,7,4,5,8,8,8,4,8,8,8,"E20;02;31;E20;31;B82;31;E20;23;01;61;E10;23;C10;E30;B81;E30;C10",1,1,1,1,1
51621896,"EL","EL6","EL62",39.668509999999998,19.777190000000001,"07/07/12",2,1,3,39.66713,"E",19.773540000000001,117,350,1,"D10","8",6,"8","8",8,2,"U420","8",4,2,2,2,2,7,4,8,8,8,8,4,8,8,8,"D10;D20",1,1,1,1,1
51621906,"EL","EL6","EL62",39.758229999999998,19.790780000000002,"08/07/12",1,1,8,39.758220000000001,"E",19.790780000000002,224,2,1,"B81","8",6,"E10","8",6,2,"U111","8",4,8,8,8,2,7,4,5,8,8,8,4,8,8,8,"B81;E10;B81;61;21;B81;21;B81;21;B81;21;B81;21;B81;21;B81;21;B81;21;D10;PI;D10;PI",1,1,1,1,1
51681890,"EL","EL6","EL62",39.607689999999998,19.838139999999999,"07/07/12",1,1,3,39.607410000000002,"E",19.837949999999999,84,32,1,"D10","8",6,"8","8",8,2,"U420","8",3,2,2,2,2,7,4,8,8,8,8,4,8,8,8,"D10;PI;D10;C10;D10;61;D10;PI;D10;23;E30;23;61;B81;23;B81;21;B81;D10;61;E20;D10;B81",1,1,1,1,1
51681902,"EL","EL6","EL62",39.715350000000001,19.85453,"10/07/12",3,1,4,39.714280000000002,"E",19.85482,108,120,1,"B81","8",4,"E10","8",6,2,"U111","8",4,8,8,8,2,7,4,5,8,8,8,4,8,8,8,"PI;B81;E10;C10;B81;PI;B81;C10;B81",8,1,1,1,1
51681908,"EL","EL6","EL62",39.769170000000003,19.862749999999998,"09/07/12",1,1,2,39.769159999999999,"E",19.863379999999999,559,51,1,"D20","8",6,"8","8",8,2,"U420","8",4,8,8,8,2,7,4,8,8,8,8,4,8,8,8,"D20;01;61;01;D20;01;61;D20;51;D20",1,1,1,1,1
51601908,"EL","EL6","EL62",39.778500000000001,19.770430000000001,"08/07/12",1,1,3,39.778500000000001,"E",19.770409999999998,11,1,1,"B81","8",4,"E10","8",6,2,"U111","8",1,8,8,8,1,7,4,5,8,8,8,4,8,8,8,"B81;E10;62;01;B81;61;B81;D10;G20;D10",1,1,1,1,1
