"POINT_ID","NUTS0","NUTS1","NUTS2","TH_LAT","TH_LONG","SURVEY_DATE","OBS_TYPE","PI_EXTENSION","GPS_PROJ","GPS_PREC","GPS_LAT","GPS_EW","GPS_LONG","GPS_ALTITUDE","OBS_DIST","OBS_DIR","LC1","LC1_SPECIES","LC1_PCT","LC2","LC2_SPECIES","LC2_PCT","OBS_RADIUS","LU1","LU1_TYPE","LU1_PCT","LU2","LU2_TYPE","LU2_PCT","AREA_SIZE","TREES_HEIGHT_MATURITY","TREES_HEIGHT_SURVEY","FEATURE_WIDTH","LAND_MNGT","LC_LU_SPECIAL_REMARK","PROTECTED_AREA","WM","WM_SOURCE","WM_TYPE","WM_DELIVERY","SOIL_TAKEN","SOIL_PLOUGH","SOIL_CROP","SOIL_STONES","PHOTO_P","PHOTO_N","PHOTO_E","PHOTO_S","PHOTO_W","INSPIRE_PLCC1","INSPIRE_PLCC2","INSPIRE_PLCC3","INSPIRE_PLCC4","INSPIRE_PLCC5","INSPIRE_PLCC6","INSPIRE_PLCC7","INSPIRE_PLCC8","TRANSECT"
50643976,"EE","EE0","EE00",58.286671131,22.724706278,"15/06/15",1,"",1,6,58.28665,"E",22.72472,6,0,1,"C31","C312",7,"8","8",8,2,"U120","8",7,"8","8",8,3,2,2,2,2,7,4,8,8,8,8,4,8,8,8,1,1,1,1,1,30,60,0,5,0,0,0,5,"C31;PI;C31;A;C10;PI;C10;E20;31;01;62;01;31;C31"
50643986,"EE","EE0","EE00",58.374920417,22.756352476,"11/06/15",1,"",1,6,58.37495,"E",22.75635,21,0,1,"C32","C322",6,"8","8",8,2,"U120","8",7,"8","8",8,4,2,2,2,2,7,4,8,8,8,8,4,8,8,8,1,1,1,1,1,55,30,5,10,0,0,0,0,"C32;31;61;C32"
50643990,"EE","EE0","EE00",58.410218184,22.76906211,"11/06/15",1,"",1,7,58.41024,"E",22.76906,37,0,1,"C10","C10D",7,"8","8",8,2,"U120","8",7,"8","8",8,4,2,2,2,2,7,4,8,8,8,8,4,8,8,8,1,1,1,1,1,0,95,0,5,0,0,0,0,"C10;PI;C10;PI"
50643994,"EE","EE0","EE00",58.445514835,22.781801122,"11/06/15",1,"",1,4,58.44553,"E",22.78186,31,0,1,"B13","8",7,"8","8",8,1,"U111","8",7,"8","8",8,4,8,8,8,2,7,4,5,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,0,0,0,0,0,"B13;61;E20;23;E20;61;E30;14;E30;B13"
50644012,"EE","EE0","EE00",58.604335906,22.839492897,"12/06/15",1,"",1,5,58.60437,"E",22.83947,17,0,1,"C33","C332",6,"8","8",8,2,"U120","8",7,"8","8",8,3,2,2,2,2,7,4,8,8,8,8,4,8,8,8,1,1,1,1,1,55,30,5,10,0,0,0,0,"C33;62;C33;62;01;C33"
50644040,"EE","EE0","EE00",58.851345494,22.930443682,"20/05/15",2,"",1,3,58.85104,"E",22.93362,8,186,1,"H11","8",7,"8","8",8,2,"U420","8",7,"8","8",8,4,8,8,8,2,7,4,8,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,0,0,0,0,0,"H11;23;H11"
50644044,"EE","EE0","EE00",58.886628031,22.943558407,"20/05/15",1,"",1,5,58.88661,"E",22.94355,10,0,1,"C10","C10D",4,"8","8",8,2,"U420","8",7,"8","8",8,2,2,2,2,2,7,4,8,8,8,8,4,8,8,8,1,1,1,1,1,0,30,10,60,0,0,0,0,"C10;E10;C32;C22;E10"
50644048,"EE","EE0","EE00",58.921909424,22.956703883,"20/05/15",1,"",1,3,58.92192,"E",22.95674,9,0,1,"E20","8",7,"8","8",8,2,"U111","8",7,"8","8",8,4,8,8,8,2,7,4,3,5,5,4,1,2,1,1,1,1,1,1,1,0,0,0,100,0,0,0,0,"E20;31;01;62;01;31;E20;12;E20"
50663970,"EE","EE0","EE00",58.230525438,22.73929913,"15/06/15",1,"",1,3,58.23051,"E",22.7393,4,0,1,"D20","8",4,"8","8",8,2,"U420","8",7,"8","8",8,4,8,8,8,2,7,4,8,8,8,8,4,8,8,8,1,1,1,1,1,0,0,30,70,0,0,0,0,"D20;D10"
50664006,"EE","EE0","EE00",58.548173088,22.853973881,"12/06/15",1,"",1,6,58.54816,"E",22.85398,22,0,1,"C22","C222",6,"8","8",8,2,"U120","8",7,"8","8",8,4,2,2,2,2,7,4,8,8,8,8,4,8,8,8,1,1,1,1,1,70,15,5,10,0,0,0,0,"C22"
