"POINT_ID","NUTS0","NUTS1","NUTS2","TH_LAT","TH_LONG","SURVEY_DATE","OBS_TYPE","GPS_PROJ","GPS_PREC","GPS_LAT","GPS_EW","GPS_LONG","GPS_ALT","OBS_DIST","OBS_DIR","LC1","LC1_SPECIES","LC1_PCT","LC2","LC2_SPECIES","LC2_PCT","OBS_RADIUS","LU1","LU2","AREA_SIZE","TREE_HEIGHT_MAT","TREE_HEIGHT_SRV","FEATURE_WIDTH","LAND_MNGT","LC_LU_SPECIAL_REMARK","PROTECTED_AREA","WM","WM_SOURCE","WM_TYPE","WM_DELIVERY","SOIL_TAKEN","SOIL_PLOUGH","SOIL_CROP","SOIL_STONES","TRANSECT","PHOTO_P","PHOTO_N","PHOTO_E","PHOTO_S","PHOTO_W"
47081450,"MT","MT0","MT00",36.014812965799997,14.2550320433,"08/05/12",1,1,2,36.014800000000001,"E",14.25501,120,1,1,"F10","8",6,"8","8",8,1,"U420","8",1,8,8,8,2,7,4,8,8,8,8,4,8,8,8,"F10;D20;F10;D20;F10;D20",1,1,1,1,1
47081452,"MT","MT0","MT00",36.032977521200003,14.2561035198,"08/05/12",1,1,2,36.032940000000004,"E",14.25595,101,14,1,"A11","8",6,"8","8",8,1,"U111","8",1,8,8,8,8,7,4,5,8,8,8,4,8,8,8,"A;B54;A;E20;A",1,1,1,1,1
47081454,"MT","MT0","MT00",36.051141603600001,14.257175784399999,"07/05/12",1,1,2,36.051110000000001,"E",14.257059999999999,127,13,1,"A11","8",6,"8","8",8,1,"U370","8",3,8,8,8,8,7,4,8,8,8,8,4,8,8,8,"A;D20;E30;21;B77;14;B41;13;B43;13;31;62;B21;21;B21;14;B75",1,1,1,1,1
47081456,"MT","MT0","MT00",36.069305213299998,14.258248838,"07/05/12",1,1,2,36.069290000000002,"E",14.2582,30,4,1,"B54","8",6,"8","8",8,1,"U111","8",1,8,8,8,2,2,4,5,8,8,8,4,8,8,8,"B54;13;B13;01;E20;21;B53;01;B53;01;61;01;A;62;D20;B41;61;01;G20;13;A",1,1,1,1,1
47041452,"MT","MT0","MT00",36.034974513000002,14.212180118999999,"08/05/12",1,1,2,36.034950000000002,"E",14.212120000000001,152,6,1,"B41","8",6,"8","8",8,1,"U111","8",1,8,8,8,2,7,4,5,8,8,8,4,8,8,8,"B41;21;01;F40;E20;A;21;E20;B54;21;61;21;B54;21;61;21;14;B13",1,1,1,1,1
47041454,"MT","MT0","MT00",36.053139182099997,14.213241378299999,"07/05/12",1,1,2,36.053159999999998,"E",14.213190000000001,162,5,1,"E20","8",6,"8","8",8,2,"U420","8",3,8,8,8,2,7,4,8,8,8,8,4,8,8,8,"E20;51;B53;E20;B53;01;B53",1,1,1,1,1
47041456,"MT","MT0","MT00",36.071303379100002,14.2143034184,"07/05/12",1,1,2,36.071300000000001,"E",14.214219999999999,82,7,1,"E20","8",6,"8","8",8,2,"U111","8",1,8,8,8,1,7,4,5,8,8,8,4,8,8,8,"E20;21;E20;61;E20",1,1,1,1,1
47061452,"MT","MT0","MT00",36.033978604300003,14.2341420823,"08/05/12",1,1,2,36.033990000000003,"E",14.23414,66,2,1,"C10","8",6,"8","8",8,2,"U420","8",1,8,8,8,2,7,4,8,8,8,8,4,8,8,8,"C10;B54;D20;21;D10;21;F10;21;B53;62;A;E20;A;21;B13",1,1,1,1,1
47061454,"MT","MT0","MT00",36.052142980799999,14.235208844600001,"07/05/12",1,1,2,36.052199999999999,"E",14.23509,81,12,1,"E30","8",6,"8","8",8,2,"U112","8",1,8,8,8,2,7,4,5,8,8,8,4,8,8,8,"E30;14;B54;21;62;A;D10;21;PI;Bx1;A;PI;10;21;B43;21;F40;B75;E20;21;62;G20",1,1,1,1,1
47061456,"MT","MT0","MT00",36.070306884799997,14.236276391800001,"07/05/12",1,1,2,36.070320000000002,"E",14.2362,150,7,1,"A11","8",6,"8","8",8,1,"U370","8",3,8,8,8,8,7,4,8,8,8,8,4,8,8,8,"A;E10;21;B43;21;B43;21;E20;21;B43;01;B53;E20;51;E30;01;E30;51;E30;51;E30",1,1,1,1,1
47021452,"MT","MT0","MT00",36.035965247299998,14.1902176326,"08/05/12",1,1,2,36.035890000000002,"E",14.190149999999999,165,10,1,"E20","8",6,"8","8",8,2,"U410","8",1,8,8,8,2,7,4,8,8,8,8,4,8,8,8,"E20;21;E20;21;E20;21;61;21;B53;21;B54;21;61;21;B54;21;B54;E30;61;B54",1,1,1,1,1
47021454,"MT","MT0","MT00",36.054130207500002,14.191273388300001,"07/05/12",1,1,2,36.054340000000003,"E",14.191129999999999,61,27,1,"F10","8",6,"8","8",8,1,"U420","8",1,8,8,8,2,7,4,8,8,8,8,4,8,8,8,"F10;G10;F20;F10;D20;F10;61;D20",1,1,1,1,1
47021456,"MT","MT0","MT00",36.072294695799997,14.192329920800001,"07/05/12",1,1,2,36.072299999999998,"E",14.192209999999999,80,10,1,"E20","8",6,"8","8",8,2,"U410","8",1,8,8,8,2,7,4,8,8,8,8,4,8,8,8,"E20;21;B13;21;B13;21;E20;B13;D20;21;B54;B53;21;B54;21;B53;E20;21;B13;21;D20;21;B13;21;B54;61;E20;21;B53;21;E20",1,1,1,1,1
47341430,"MT","MT0","MT00",35.8196998142,14.5290272874,"02/05/12",1,1,3,35.819650000000003,"E",14.52899,19,7,1,"A11","8",6,"8","8",8,1,"U370","8",4,8,8,8,8,7,4,8,8,8,8,4,8,8,8,"A",1,1,1,1,1
47341432,"MT","MT0","MT00",35.837865197900001,14.530161826900001,"02/05/12",1,1,2,35.83784,"E",14.53004,43,10,1,"B54","8",6,"8","8",8,1,"U111","8",1,8,8,8,2,7,4,5,8,8,8,4,8,8,8,"B54;F10;E30;B54;21;B54;E30;B43;21;E30;21;E30;21;B21;B54",1,1,1,1,1
47341434,"MT","MT0","MT00",35.8560301009,14.531297198700001,"02/05/12",1,1,5,35.856099999999998,"E",14.531219999999999,47,10,1,"A11","8",6,"8","8",8,1,"U370","8",4,8,8,8,8,7,4,8,8,8,8,4,8,8,8,"A",1,1,1,1,1
47341436,"MT","MT0","MT00",35.874194523699998,14.532433403700001,"02/05/12",1,1,6,35.874180000000003,"E",14.532310000000001,49,1,2,"B54","8",6,"8","8",8,1,"U111","8",1,8,8,8,2,7,4,5,8,8,8,4,8,8,8,"21;B54;11;21;B54;62;A",1,1,1,1,1
47341438,"MT","MT0","MT00",35.892358466899999,14.5335704427,"02/05/12",1,1,2,35.892090000000003,"E",14.53346,32,33,1,"B54","8",6,"8","8",8,1,"U111","8",1,8,8,8,2,7,4,2,1,5,4,4,8,8,8,"B54;21;61;B54;21;10;B54;21;A;62;23;13;62;F40;D10",1,1,1,1,1
47281430,"MT","MT0","MT00",35.822879033900001,14.463343076399999,"03/05/12",1,1,2,35.822879999999998,"E",14.463229999999999,133,10,2,"E30","8",4,"8","8",8,2,"U111","8",1,8,8,8,2,7,4,5,8,8,8,4,8,8,8,"A;21;62;E10;21;E20;21;E20;21;E20;21;E20;21;14;21;61;21;E20;F10",1,1,1,1,1
47281432,"MT","MT0","MT00",35.841045346400001,14.4644612629,"02/05/12",1,1,3,35.841050000000003,"E",14.46439,107,7,1,"A22","8",6,"8","8",8,1,"U312","8",4,8,8,8,8,7,4,8,8,8,8,4,8,8,8,"A;21;B43;21;B54;A;21;B21;A;10;B43;B54;21;62;A",1,1,1,1,1
47281434,"MT","MT0","MT00",35.859211178999999,14.4655802699,"02/05/12",2,1,2,35.85812,"E",14.46574,72,120,1,"D10","8",6,"8","8",8,2,"U420","8",3,2,2,2,2,7,4,8,8,8,8,4,8,8,8,"D10;G20;D10;C21;G20;C10;21;C10;21;A",1,1,1,1,1
47281436,"MT","MT0","MT00",35.877376532,14.4667000981,"09/05/12",1,1,2,35.877270000000003,"E",14.46672,45,12,1,"A11","8",6,"8","8",8,1,"U370","8",4,8,8,8,8,7,4,8,8,8,8,4,8,8,8,"A",1,1,1,1,1
47281438,"MT","MT0","MT00",35.895541406100001,14.467820748299999,"09/05/12",1,1,2,35.89564,"E",14.467980000000001,43,16,1,"A11","8",6,"8","8",8,1,"U370","8",4,8,8,8,8,7,4,8,8,8,8,4,8,8,8,"A",1,1,1,1,1
47281440,"MT","MT0","MT00",35.913705801500001,14.468942221300001,"10/05/12",1,1,2,35.914160000000003,"E",14.46842,100,69,1,"A11","8",6,"8","8",8,1,"U111","8",1,8,8,8,8,7,4,5,8,8,8,4,8,8,8,"A;D10;21;D20;24;F10",1,1,1,1,1
47281442,"MT","MT0","MT00",35.931869718900003,14.470064517999999,"05/05/12",1,1,2,35.93186,"E",14.469950000000001,57,10,1,"A22","8",6,"8","8",8,1,"U312","U361",4,8,8,8,8,7,4,8,8,8,8,4,8,8,8,"A",1,1,1,1,1
47361432,"MT","MT0","MT00",35.836794835200003,14.552060904399999,"02/05/12",3,1,2,35.837240000000001,"E",14.552,15,50,1,"B54","8",6,"8","8",8,1,"U113","8",1,8,8,8,2,7,4,8,8,8,8,4,8,8,8,"PI;B54;PI;10;21;F40;A;B12;01;B41;01;B41;01;B13;21;A;61;10;B43;21;B41;01;B54",8,1,1,1,1
