"POINT_ID","NUTS0","NUTS1","NUTS2","TH_LAT","TH_LONG","SURVEY_DATE","OBS_TYPE","PI_EXTENSION","GPS_PROJ","GPS_PREC","GPS_LAT","GPS_EW","GPS_LONG","GPS_ALTITUDE","OBS_DIST","OBS_DIR","LC1","LC1_SPECIES","LC1_PCT","LC2","LC2_SPECIES","LC2_PCT","OBS_RADIUS","LU1","LU1_TYPE","LU1_PCT","LU2","LU2_TYPE","LU2_PCT","AREA_SIZE","TREES_HEIGHT_MATURITY","TREES_HEIGHT_SURVEY","FEATURE_WIDTH","LAND_MNGT","LC_LU_SPECIAL_REMARK","PROTECTED_AREA","WM","WM_SOURCE","WM_TYPE","WM_DELIVERY","SOIL_TAKEN","SOIL_PLOUGH","SOIL_CROP","SOIL_STONES","PHOTO_P","PHOTO_N","PHOTO_E","PHOTO_S","PHOTO_W","INSPIRE_PLCC1","INSPIRE_PLCC2","INSPIRE_PLCC3","INSPIRE_PLCC4","INSPIRE_PLCC5","INSPIRE_PLCC6","INSPIRE_PLCC7","INSPIRE_PLCC8","TRANSECT"
32783144,"UK","UKK","UKK3",50.454660933,-4.801635112,"20/08/15",1,"",1,14,50.454695,"W",4.801681,148,3,1,"B55","8",7,"8","8",8,1,"U111","8",7,"8","8",8,3,8,8,8,2,2,4,5,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,0,0,0,0,0,"B55;24;B55;13;F40;E30"
32783558,"UK","UKN","UKN0",54.078843801,-6.085858724,"17/08/15",1,"",1,16,54.078796,"W",6.085877,106,1,1,"E20","8",7,"8","8",8,2,"U111","8",7,"8","8",8,3,8,8,8,2,7,4,5,8,8,8,2,8,8,8,1,1,1,1,1,0,0,0,100,0,0,0,0,"E20;14;24;23;E20;23;24;13;01;62;01;13;23;E20;21;13;E20;21;E20;13;21;E20"
32783582,"UK","UKN","UKN0",54.288289019,-6.168631528,"20/08/15",1,"",1,14,54.288306,"W",6.168623,209,1,1,"E20","8",7,"8","8",8,2,"U111","8",7,"8","8",8,3,8,8,8,1,7,4,5,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,100,0,0,0,0,"E20;23;13;E20;14;23;E20;23;13;E20;A;13;E20"
32783600,"UK","UKN","UKN0",54.445323912,-6.231376207,"18/11/15",1,"",1,21,54.445306,"W",6.231359,136,1,1,"E20","8",7,"8","8",8,2,"U111","8",7,"8","8",8,3,8,8,8,2,7,4,5,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,100,0,0,0,0,"E20;23;13;E20;13;01;62;01;13;24;E20"
32783630,"UK","UKN","UKN1",54.706954536,-6.337239793,"24/08/15",3,"",1,13,54.708197,"W",6.342194,66,345,1,"G11","8",7,"8","8",8,1,"U130","8",7,"8","8",8,4,8,8,8,8,7,4,8,8,8,8,4,8,8,8,8,1,1,1,1,0,0,0,0,0,0,0,0,"PI;G11;PI"
32783636,"UK","UKN","UKN1",54.759266435,-6.358608435,"24/08/15",1,"",1,19,54.759169,"W",6.358615,177,14,1,"E20","8",7,"8","8",8,2,"U370","8",7,"8","8",8,3,8,8,8,2,7,4,8,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,100,0,0,0,0,"E20;23;13;24;01;62;01;13;23;24;E20;23;32;23;24;E20;23;13;E20;13;23;E20;23;13;E20;23;13;E20"
32783654,"UK","UKN","UKN1",54.916173477,-6.423111417,"21/08/15",3,"",1,20,54.914974,"W",6.422892,215,137,1,"C10","C105",7,"8","8",8,2,"U420","8",7,"8","8",8,3,2,2,2,2,7,4,8,8,8,8,4,8,8,8,1,1,1,1,1,0,100,0,0,0,0,0,0,"PI;C10;H12;31;10;H12;31;H12;C10;H12;PI"
32783662,"UK","UKN","UKN1",54.985896086,-6.451972091,"19/06/15",3,"",1,18,54.999752,"W",6.424946,262,2312,1,"C21","C212",7,"8","8",8,2,"U120","8",7,"8","8",8,4,2,2,2,2,7,4,8,8,8,8,4,8,8,8,8,1,1,1,1,100,0,0,0,0,0,0,0,"PI;C21;01;61;01;C21;PI"
32803136,"UK","UKK","UKK3",50.388031237,-4.751586143,"17/08/15",1,"",1,11,50.388016,"W",4.751571,175,2,1,"E20","8",7,"8","8",8,2,"U111","8",7,"8","8",8,4,8,8,8,1,7,4,5,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,100,0,0,0,0,"E20;23;13;23;E20"
32803154,"UK","UKK","UKK3",50.546063828,-4.802021974,"08/09/15",1,"",1,15,50.546079,"W",4.802033,83,2,1,"B11","8",3,"8","8",8,1,"U111","8",7,"8","8",8,3,8,8,8,2,2,4,5,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,0,0,0,0,0,"B11;13;22;01;B16"
32803586,"UK","UKN","UKN0",54.327182705,-6.152465197,"25/08/15",3,"",1,15,54.326584,"W",6.151041,153,115,2,"E20","8",7,"8","8",8,2,"U111","8",7,"8","8",8,4,8,8,8,2,7,4,5,8,8,8,2,8,8,8,8,1,1,1,1,0,0,0,100,0,0,0,0,"PI;14;E20;PI;14;E20;14;E20"
